Titulo,Reclamação,Status,Data,Localidade
"Não consigo trocar meu plano, aumentado pela Vivo sem me consultar", É inadmissível a forma como vocês tratam os clientes. Essa política de dificultar a vida do cliente e fazê-lo desistir... ,Não respondida,30/10/2019, Rio de Janeiro 
Vivo mantém bloqueio de sinal mesmo com contas pagas., Meu nome é Adamo e venho reclamar da empresa Vivo.Possuo serviço de banda larga em casa.Atrasei um pagamen... ,Não respondida,30/10/2019, São Paulo 
Queda de internet.," Minha internet tem caído com frequência , basta um ventinho que já  cai é no dia seguinte de manhã volta.Estou m... ",Não respondida,30/10/2019, Tatuí 
Atendimento da vendedora," Procurei pelo serviços da reclamada junto a sua representante na cidade de Colatina Sra. Valdirene, ela passou as info... ",Não respondida,30/10/2019, Colatina 
"Instalação sem conclusão, sem internet, telefone e televisão há dias"," No sábado do dia 26/10 um técnico da VIVO foi até a minha residência para instalar os serviços de um combo(internet, t... ",Não respondida,30/10/2019, São Paulo 
Cobranca insistente e indevida., Faz dias que recebo sms e ligações (em media umas 12 por dia) de varios numeros diferentes. Bloqueio um eles ligam de ... ,Não respondida,30/10/2019, Barretos 
Cobranca insistente e indevida., Faz dias que recebo sms e ligações (em media umas 12 por dia) de varios numeros diferentes. Bloqueio um eles ligam de ... ,Não respondida,30/10/2019, Barretos 
bloqueou meu numero, boa tarde? tinha solicitado o cancelamento do meu plano porque comecei pagando 30 reais depois o plano aumentou para m... ,Não respondida,30/10/2019, Nepomuceno 
Vivo presta desserviço e cria mais problemas ao invés de solucionar, Em junho deste ano liguei para a operadora trocar meu plano controle de 4gb para 2gb. Minha filha estava internada no ... ,Não respondida,30/10/2019, Belo Horizonte 
Enganado," A quinze dias atrás recebi uma ligação que meu número tinha sido sorteado para um plano pos pago no valor de r$39.90 ,... ",Não respondida,30/10/2019, São Paulo 
OUVIDORIA NÃO FUNCIONA PARA RECLAMACAO," Meu marido paga 29,90 por 8 gigas de internet e ligação ilimitada. Liguei e me disseram que eu não poderia ter esse pl... ",Não respondida,30/10/2019, Montes Claros 
Desligaram na minha cara na hora de cancelar, Preciso cancelar o meu serviço de internet pois não moro mais no local do serviço mas depois de 15 minutos realizando ... ,Não respondida,30/10/2019, Curitiba 
Desafio : quem consegue falar com a VIVO?????, Estou tentando resolver um problema relativamente simples para uma pessoa que trabalha comigo.  Ela possui uma linha f... ,Não respondida,30/10/2019, São Paulo 
cobrança de locação de bem móvel que não existe, Recebi um boleto referente a locação de bem móvel. Não sei a que se refere. Tentei contato por diversos emails da vivo... ,Não respondida,30/10/2019, Barra Mansa 
Não consigo desativar promoção," Foi ativada a promoção na minha linha ""receba ligação e ganhe bônus"" desde então toda vez que faço recarga o... ",Não respondida,30/10/2019, Franco da Rocha 
Propaganda enganosa," Recebi a ligação da Vivo, a um ano atras para aderir os serviços de internet 100 megas fibra. A atendente me forneceu ... ",Não respondida,30/10/2019, São Paulo 
Plano precário! Exclusão digital!," Pago um plano de internet de 2Mbps, não consigo acessar a internet de jeito nenhum por conta desta velocidade. Fazem 8... ",Não respondida,30/10/2019, São Paulo 
Duplicação da conta," Possuía 4 endereços distintos com a operadora VIVO, eles ligam para sua casa dizem que tem que atualizar o sistema e p... ",Não respondida,30/10/2019, Fortaleza 
Cancelamento sem autorização," Liguei pra vivo, falando com a Sra. Fernanda, com intuito de efetuar o cancelamento do meu plano, porem a mesma me inf... ",Não respondida,30/10/2019, Cariacica 
Cobrança em desacordo com contratado," Venho em tratativas com a Vivo desde Julho, falei com atendente da Vivo e o mesmo me informou de uma novo plano, que i... ",Não respondida,30/10/2019, Vitória da Conquista 
Mudanca de Plano," Tem 3 dias que estou tentando efetuar a mudanca do meu plano para o plano ""VIVO CONTROLE DIGITAL 3G"" no valo... ",Não respondida,30/10/2019, Belo Horizonte 
Conta paga e linha bloqueada," No último dia 8 de outubro efetuei o pagamento de uma renegociação em aberto feita neste mesmo dia no valor de R$126,0... ",Não respondida,30/10/2019, Alegrete 
Só Faltava Essa!," Na minha opinião e experiência, A VIVO (ex atual TELEFONICA) continua sendo umas das empresas mais tiranas do Brasil, ... ",Não respondida,30/10/2019, Assis 
Internet não pega," Boa tarde sou cliente da vivo e a minha internet cai td sexta feira , chamei o técnico ele arrumou e falou que na sext... ",Não respondida,30/10/2019, Osasco 
Informações divergente, Caros boas tardeAproximadamente 1 mês entraram em contato sobre valor em aberto de faturas para negociação... ,Não respondida,30/10/2019, Guarulhos 
Pedido de ressarcimento não atendido, Entrei em contato com a vivo pois o valor de minha conta aumentou sem aviso prévio e sem justificativa. Fiz um plano n... ,Não respondida,30/10/2019, Poços de Caldas 
COBRANÇA INDEVIDA E NÃO ALTERARAM DATA LIBERAÇÃO INTERNET," Pago mensalmente minha conta antes da data, fico recebendo cobranças para pagar a fatura mesmo paga. Fiz alteração da ... ",Não respondida,01/11/2019, São Bernardo do Campo 
Cobrança Indevida Fatura," Já entrei em contato 3 vezes com a Vivo e não resolveram a cobrança indevida da minha fatura, fui atendida pelo colabo... ",Não respondida,01/11/2019, São Bento do Sul 
Mudança de plano sem anuência do consumidor. Cobrança do serviço abusiva," Estou desde fevereiro 2019, contatando minha prestadora de serviço (Vivo), para que todo mês seja cumprido o acordado ... ",Não respondida,01/11/2019, São Paulo 
Cobrança indevida, Há muito tempo venho pedindo a vivo que não efetue cobrança de produtos no telefone da minha mãe que tem 72 anos. Todo... ,Não respondida,01/11/2019, Salvador 
Sem internet e telefone há 1 mês!," Estou sem internet e sem o telefone fixo, que ainda uso muito, há um mês. Já liguei várias vezes para a empresa e nunc... ",Não respondida,01/11/2019, Brasília 
Em agosto fiquei um dias sem internet paguei a fatura e me informaram que iria ter um desconto já  liguei várias vezes e não resolveram., Já entrei em contato mas até  agora não resolveram . Liguei na vivo e não  me retornaram para  resolver esse problema ... ,Não respondida,01/11/2019, Itapecerica da Serra 
aumento em menos de 1 ano," Aumentam o valor do plano controle em menos de 9 meses, não avisam. Os aumentos abusivos para uma inflação baixa. ",Não respondida,01/11/2019, São Paulo 
Negligência da empresa, Fiz o pagamento da conta do mês de outubro em atraso. Entrei em contato com o 1058 para informar o pagamento e msg inf... ,Não respondida,01/11/2019, Rio do Sul 
"Já paguei minha conta de setembro e outubro e até agora não foi dado nenhuma baixa , já mandei o comprovante para atendente que confirmou o pagamento e até agr nada"," Já paguei minha conta de setembro e outubro e até agora não foi dado nenhuma baixa , já mandei o comprovante para aten... ",Não respondida,01/11/2019, Campos dos Goytacazes 
Atraso com instalação de internet," Fiz um pedido de instalação de internet da Vivo, no dia 17/10/2019 o tecnico veio ao local, porem disse que precisaria... ",Não respondida,01/11/2019, Governador Valadares 
Alteração cadastral," O que esperar de uma empresa desta , no dia 10 de outubro aproximadamente, pedi a troca de endereço pra minha surpresa... ",Não respondida,01/11/2019, São Paulo 
Cobraça indevida, Fiz a solicitação do plano pelo app no dia que o atendente me informou para não gerar cobrança extra.O plano foi... ,Não respondida,01/11/2019, Rio de Janeiro 
Boletos não chegam," Bom faz tempo que reclamo com a vivo de não receber as minhas faturas pelos Correios,mas resolvi mesmo anotar todos os... ",Não respondida,01/11/2019, Cachoeirinha 
Valor alto da fatura," Bom dia, estou com um problema a 2 meses , adquiri um plano de 75 reais por mes , fixo e internet , porem o valor das ... ",Não respondida,01/11/2019, São Paulo 
Não consigo cancelar o pacote de TV e Internet," Estou tentando cancelar o pacote de TV e internet devido à mudança, tenho protocolos desde o dia 01/10, nao tenho reto... ",Não respondida,01/11/2019, São Paulo 
Oferta de plano com cobrança indevida," Entrei em contato com a vivo em 27/09/2019 onde me foi ofertado o plano de telefonia fixa no valor de 19,90 o de a cob... ",Não respondida,01/11/2019, São Paulo 
